Date,Open,High,Low,Close,Volume,SMA_14,SMA_26,SMA_50,SMA_100,SMA_200,EMA_14,EMA_26,EMA_50,EMA_100,EMA_200,BB_Hband,BB_Mband,BB_Lband,RSI_14,Mean_HL
2018-10-16,133.0369219649628,135.28158812004926,132.82516025192746,135.15452575683594,2928610,136.90611703055245,137.71979522705078,134.89008361816406,129.93441932678223,127.33753017425538,135.6966333169555,136.09879093828283,134.65747550914895,131.66184896242234,129.11283108802584,143.91263729567066,137.57743911743165,131.24224093919264,47.27986957687124,134.05337418598836
2018-10-17,135.1037108475927,135.9507577292053,133.09621614064164,133.87550354003906,3578460,136.57269396100725,137.6143763615535,134.96027740478516,130.0170400238037,127.37244449615478,135.45381601336666,135.93410298285738,134.62680994173286,131.70568370653353,129.16022086366777,143.82682074762317,137.32561264038085,130.82440453313853,43.945128947701384,134.52348693492348
2018-10-18,133.1385367572969,133.30794876433853,130.47034766568294,131.4529266357422,3750288,136.00399017333984,137.389035151555,135.00136352539062,130.09594535827637,127.40048793792725,134.92036409635006,135.60216399418218,134.50234392973323,131.7006786160228,129.18303385642474,143.81636537616257,136.9216567993164,130.02694822247022,38.4179431010807,131.88914821501072
2018-10-19,132.22375907103614,133.61290848331657,129.08969628891245,129.99603271484375,7008931,135.2192666190011,137.04901064359225,135.03398895263672,130.14160591125489,127.41274421691895,134.26378657881588,135.18689501052748,134.3256258428748,131.66692325164303,129.19112339730452,143.75543323316037,136.41134338378907,129.06725353441777,35.52424497715937,131.35130238611453
2018-10-22,130.25014396711842,130.63978766526083,127.98853787241288,129.267578125,4646786,134.40731375558036,136.70030329777643,135.06655181884764,130.20107566833497,127.41690032958985,133.59762545164043,134.748427093081,134.12727103040913,131.61941146695702,129.1918841408637,143.83540308431085,135.9433624267578,128.05132176920475,34.139605074758464,129.31416276883687
2018-10-23,126.53158104372716,129.01341811462473,124.38855462839196,127.56497955322266,5542459,133.51307514735632,136.2654885512132,135.07740356445314,130.22534370422363,127.41601047515869,132.79327266518473,134.21631986790632,133.8699262665979,131.53912568648704,129.17569603551402,143.96215808150617,135.38606071472168,126.8099633479372,31.089465544322522,126.70098637150835
2018-10-24,127.62430614532198,127.75983844999124,122.83002926982988,123.10955047607422,4772381,132.34113093784876,135.64674436129056,134.9694645690918,130.2046405029297,127.38760131835937,131.50210970663667,133.3935962092521,133.4479507454009,131.37220340509273,129.11533637820617,144.53571230241084,134.5976104736328,124.6595086448548,24.836183384398524,125.29493385991056
2018-10-25,124.66808600768896,125.79466721052376,123.85493236436936,124.92221069335938,2893109,131.33738163539343,135.10867426945612,134.9136196899414,130.20431518554688,127.36379776000976,130.6247898381997,132.76608617103784,133.113607998262,131.2444807771376,129.07361373457584,144.52405985664876,133.9165496826172,123.30903950858561,30.92363853305973,124.82479978744655
2018-10-26,123.4483575071062,125.43044216000114,122.62672053422165,123.70246887207033,3591773,130.19870976039343,134.49984447772687,134.80547973632812,130.18237113952637,127.3304694366455,129.70181370938244,132.09470711185506,132.74454371880353,131.09513400674024,129.0201695070882,144.3054537195628,133.1309341430664,121.95641456657003,29.20934583368428,124.02858134711138
2018-10-29,126.85672743011774,127.61724750205896,121.76917800942309,123.30767822265624,4741300,129.26901027134485,133.85005129300632,134.67151428222655,130.14739112854005,127.29042045593262,128.84926231115227,131.44381608302552,132.3744705620919,130.94092696151085,128.96332879779038,143.59255822560831,132.24720993041993,120.90186163523153,28.65562870857275,124.69321275574103
2018-10-30,123.65731088897024,125.08216684908167,122.96672466241968,124.96853637695312,4204600,128.71931893484933,133.32471818190353,134.56573913574218,130.13093757629395,127.26354637145997,128.3318321865924,130.96416573442758,132.0840417705178,130.8226618014206,128.9235796194736,142.54485020295894,131.46389083862306,120.38293147428719,34.29839989187403,124.02444575575068
2018-10-31,126.664425625176,128.14174237854172,125.95636572290736,126.5945053100586,4733900,128.4672748020717,132.858698624831,134.46718154907228,130.13066024780272,127.24265537261962,128.10018860305456,130.64048718447432,131.86876583089196,130.73893593030454,128.9004047507232,141.3178250767484,130.789400100708,120.26097512466762,39.355360031627136,127.04905405072455
2018-11-01,127.13650179005556,127.22390887198742,125.44064700647272,126.27108764648438,3792000,128.03603417532784,132.37379602285532,134.37639877319336,130.12389694213869,127.22274814605713,127.85630847551187,130.31682795943803,131.64924903934656,130.65046368706058,128.87424239147705,140.02372584119806,130.12711601257325,120.23050618394844,38.717020576621955,126.33227793923007
2018-11-02,127.28507634763412,128.0980300475405,125.61544540925908,127.1714324951172,4860500,127.66850117274693,131.9364116375263,134.27379684448243,130.129722366333,127.20358646392822,127.76499167812592,130.08383570282166,131.47364839055325,130.58157198028943,128.8572990094237,138.6276608080168,129.53695259094238,120.44624437386794,41.55883987642358,126.85673772839979
2018-11-05,127.26757453897127,129.51414784021387,127.1801674876316,128.657470703125,4181600,127.20442581176758,131.5226689852201,134.20761672973632,130.15566040039062,127.19247402191162,127.88398888145915,129.97817903617747,131.3632100498698,130.54347096490002,128.85531066806752,136.8080342864937,128.9876323699951,121.16723045349654,46.00907664808587,128.34715766392273
2018-11-06,129.10328958148182,130.62430291606137,129.0246192376542,129.76763916015625,3178400,126.91100692749023,131.09134116539587,134.13280868530273,130.2007876586914,127.18257846832276,128.1351422519521,129.96258348980552,131.30063864243004,130.5281079588655,128.8643885635112,135.73710529194332,128.65984077453612,121.58257625712893,49.125848813995766,129.8244610768578
2018-11-07,131.1662918113922,132.52122782245834,130.02989343635352,131.2974090576172,2185000,126.89989852905273,130.73220619788538,134.0760289001465,130.26354736328125,127.17876316070557,128.5567778260408,130.06145945779159,131.30051199204524,130.5433416439893,128.88859772265653,135.53796302769007,128.59150047302245,121.64503791835483,53.1401257584435,131.27556062940593
2018-11-08,131.15755294379218,132.42508201152657,131.04392243354226,131.60337829589844,2801000,127.0147089276995,130.4060161297138,134.02201705932617,130.35162796020506,127.16875904083253,128.9629912220218,130.1756756680217,131.31238910200028,130.56433246877958,128.91561046467885,135.70657411949483,128.6655132293701,121.6244523392454,53.92324585783601,131.73450222253442
2018-11-09,131.20126424354305,131.7432467017817,130.0998392567329,131.40232849121094,2378400,127.16719109671456,130.09392224825345,133.97822677612305,130.44386779785157,127.1447472000122,129.28823619124702,130.2665388401098,131.3159161368713,130.58092644942178,128.94035392762942,135.57809101676972,128.62020683288574,121.66232264900177,53.2930028771976,130.9215429792573
