Date,Open,High,Low,Close,Volume,SMA_14,SMA_26,SMA_50,SMA_100,SMA_200,EMA_14,EMA_26,EMA_50,EMA_100,EMA_200,BB_Hband,BB_Mband,BB_Lband,RSI_14,Mean_HL
2018-10-16,5.944023822126535,6.101338725753783,5.89472372618801,6.090190410614014,408712000,6.547447885785784,6.609396457672119,6.595553607940674,6.421109380722046,6.11711144208908,6.372061243166514,6.49953286684788,6.515987561435608,6.3904403645059285,6.108442471730691,7.3469971346279594,6.568527030944824,5.790056927261689,40.334811930442044,5.998031225970896
2018-10-17,6.1523740119437305,6.190526271584186,5.972514844436201,6.021567344665527,329668000,6.504376581736973,6.581058795635517,6.588741006851197,6.419602212905883,6.122569870948792,6.325328723366383,6.464128013352891,6.496598533326978,6.383135948271465,6.107578042605664,7.3420055555536035,6.532703876495361,5.723402197437119,39.082182765419084,6.081520558010194
2018-10-18,6.0909351431140415,6.129334536873384,5.87366698439752,5.934115409851074,524020000,6.430957215172904,6.553740703142607,6.579451417922973,6.417391362190247,6.125968766212464,6.273166948231008,6.424867820500904,6.474540371622041,6.374244452461161,6.105852046259847,7.348931292837314,6.49956865310669,5.650206013376065,37.48454360038026,6.001500760635452
2018-10-19,5.98936066520303,6.008931764235445,5.641038291340321,5.677455902099609,613608000,6.3244467462812155,6.513559194711538,6.565999259948731,6.41152446269989,6.1279458856582645,6.193738808746822,6.3695039746934015,6.443282157130965,6.360446659384694,6.1015893980592475,7.3786434651657276,6.457106065750122,5.535568666334517,33.195576451845525,5.824985027787883
2018-10-22,5.729728488402756,5.829815241969371,5.625430107380949,5.728241920471191,368844000,6.2266601494380405,6.470481028923621,6.5543897914886475,6.406363501548767,6.129953122138977,6.1316725569767385,6.322003081788052,6.415241363536465,6.347927753663634,6.09787449778474,7.386527735139933,6.414395642280579,5.442263549421225,34.785642641833874,5.72762267467516
2018-10-23,5.460930163895076,5.554080698122231,5.3687709899211935,5.476538181304932,626436000,6.110452311379569,6.420104118493887,6.537087621688843,6.397341017723083,6.129885754585266,6.044321306887165,6.2593760521226365,6.37842947403719,6.330672514607026,6.091692046874493,7.402706645253835,6.355743145942688,5.308779646631541,30.864605967294963,5.461425844021712
2018-10-24,5.438140076999884,5.484715122824524,4.926309308161859,4.940182685852051,884288000,5.969099010740008,6.351870848582341,6.50642879486084,6.381164798736572,6.127144033908844,5.8971028240824825,6.161658024991482,6.3220276392064,6.303138062552472,6.080234242287205,7.478650780054506,6.272118592262268,5.0655864044700305,24.521573217274877,5.205512215493192
2018-10-25,4.842573142734785,5.196345675415179,4.798227478886415,5.149027347564697,951720000,5.85935023852757,6.290755345271184,6.481110591888427,6.367022557258606,6.1252313899993895,5.797359427213445,6.08664834518209,6.276027627769471,6.2802843850279615,6.07096850204121,7.487283415546943,6.198341679573059,4.909399943599175,30.51001411438604,4.997286577150797
2018-10-26,4.9129307393355175,5.074704894661557,4.784353929734536,4.912435531616211,664784000,5.7399396896362305,6.225971331963172,6.4518727111816405,6.350494594573974,6.122086329460144,5.679369574467147,5.999669618251285,6.2225534279203245,6.253198269118818,6.059440810793201,7.449911556031061,6.0958641290664675,4.741816702101874,27.81743183637741,4.929529412198047
2018-10-29,5.053647661933233,5.057116006373389,4.360471146505136,4.5985493659973145,758016000,5.598515612738473,6.151811397992647,6.422606630325317,6.3313848638534544,6.117507848739624,5.535260213337836,5.895882932899139,6.158866994119422,6.22043294430453,6.044904577511651,7.376485136763916,5.967361474037171,4.558237811310425,24.702652378136193,4.7087935764392626
