Date,Open,High,Low,Close,Volume,SMA_14,EMA_14,TEMA_14,SMA_26,EMA_26,TEMA_26,SMA_50,EMA_50,TEMA_50,SMA_100,EMA_100,TEMA_100,SMA_200,EMA_200,TEMA_200,BB_Hband,BB_Mband,BB_Lband,RSI_14,MACD,MACD_Signal,MACD_Hist,Mean_HL,RMom_14,MomTEMA_14_ofs1,RCTEMA_14,MomEMA_14_ofs1,MomTEMA_26_ofs1,RCTEMA_26,MomEMA_26_ofs1,MomTEMA_50_ofs1,RCTEMA_50,MomEMA_50_ofs1,MomTEMA_100_ofs1,RCTEMA_100,MomEMA_100_ofs1,MomTEMA_200_ofs1,RCTEMA_200,MomEMA_200_ofs1,RTEMA_TEMA_14_50,REMA_EMA_14_50,RSMA_SMA_14_50,RVolSMA_20
2020-05-19,122.8646614763269,123.01909228948077,119.85777253345007,119.86685180664062,4427800,119.87763813563755,119.54476882300855,117.4730312243922,121.63237674419696,121.03624988252511,118.9458547660565,120.68378189086914,125.32314855704412,115.46698996526703,139.01272575378417,133.44977886780018,113.66005957629068,145.51520175933837,139.84923206686994,125.86362878502015,131.3776629145844,121.42965316772461,111.48164342086483,48.634853758209026,-1.7591916198676358,-1.6871817683250259,-0.07200985154260997,121.43843241146541,0.9094337324737413,1.006218695929478,1.020377618226909,1.0004146712249116,1.001393761221602,1.0077429940067735,0.9992276727548818,1.0010940738368614,1.0381049323507705,0.9982260984194483,0.9984021329827614,1.0546083844535012,0.997947995912571,0.9967602214013875,0.9523549651613632,0.9985660274454672,1.017373287895775,0.953892159584505,0.9933201981028357,1.1845958133294452
2020-05-20,122.22876744919292,124.16370613755406,121.96531604680314,123.57323455810548,2949700,119.5641359601702,120.08189758768815,119.3496077567992,121.50900239210863,121.22417467330885,119.86291965675144,120.23907745361328,125.25452447865437,116.0174752011549,138.66198043823243,133.25420373295475,113.70879241598016,145.41372329711913,139.68728184290214,125.57353987580439,131.57616533062568,121.61013984680176,111.64411436297785,52.31522579740481,-1.2861662113516843,-1.6069786569303577,0.3208124455786734,123.0645110921786,0.9657005879347281,1.0159745306037302,1.0353886944472648,1.004493118101009,1.0077099356887942,1.030954651463348,1.0015526322978954,1.0047674684864778,1.0651260453983347,0.9994524229627177,1.000428759582488,1.0867517975746177,0.9985344663999843,0.9976952125724005,0.9840706464142266,0.99884196558269,1.0287209538896356,0.9587030735017661,0.9943866710578891,0.7857872590950806
2020-05-21,124.9358938574427,126.08050624284404,123.80944002154028,125.08124542236328,2374300,119.65787015642438,120.74847729897817,121.30677113261083,121.64306083092323,121.50988361768326,120.96848212885948,119.97422897338868,125.24772922154492,116.7102822990174,138.3299030303955,133.09236297432918,113.85102585362327,145.30864009857177,139.5419481471754,125.3351454724766,131.87104516227024,121.79163131713867,111.71221747200711,53.76672479940071,-0.7806079310482232,-1.4417045117539309,0.6610965807057076,124.94497313219216,1.0106026476815189,1.0163985740095585,1.0311151162833792,1.0055510424525334,1.0092235570039008,1.0339986351909645,1.0023568644220047,1.0059715753739795,1.071724298480395,0.9999457484099856,1.0012508569884622,1.0986395992880955,0.9987854735228473,0.998101555442623,0.9979742310175156,0.998959578181998,1.0393837521686138,0.9640771776819345,0.9973631102306607,0.6359942248092124
2020-05-22,124.88139003758052,126.58014312934012,123.95479114139889,126.4347915649414,2958000,119.98032924107143,121.50665253443994,123.2496010670134,121.91623541025015,121.87469161377646,122.19980353406373,120.070830078125,125.29428068599184,117.51601409503172,138.01189910888672,132.96052987711357,114.0739916753198,145.215341796875,139.41152867869545,125.14286762937564,132.28363269319615,122.00292434692383,111.72221600065151,55.088175565849234,-0.26764425355582944,-1.2068924601143107,0.9392482065584813,125.2674671353695,1.0370276713658142,1.0160158407998403,1.0258434142614072,1.0062789631175595,1.0101788613325957,1.0346562589169561,1.003002290720984,1.0069036916040526,1.0758941454795883,1.0003716751172755,1.0019583997599038,1.1083577396397526,0.9990094615929163,0.998465890454141,1.0103235922273408,0.999065374461145,1.0487898352929592,0.969770143291342,0.9992462712467742,0.7910751320798617
2020-05-26,130.60442522317996,132.8663973571974,130.27739127035446,131.6672821044922,4370200,120.69779423304966,122.86140314378024,126.51591097504021,122.18290417010968,122.60006868716282,124.33430356122092,120.00948364257812,125.54420231024676,118.86358311222492,137.74101776123047,132.934921010329,114.60029606864211,145.13213302612306,139.33447149885262,125.1104418293969,133.26302943959254,122.27925491333008,111.29548038706761,59.86402094618787,0.5547070952534483,-0.854572549040759,1.4092796442942073,131.57189431377594,1.0825874110959304,1.0265015860477378,1.0407171800744355,1.0111496002982743,1.0174672950808974,1.058977919473853,1.0059518269443921,1.011467109632424,1.1077175923611413,1.0019946770346306,1.0046137106766657,1.14892619496923,0.9998073949704605,0.9997408897479098,1.0524084175486832,0.9994472682383362,1.064379077783566,0.9786306407058388,1.0057354683111672,1.1497984656023406
2020-05-27,134.77415904336394,137.1179011280244,133.42059853861178,134.98309326171875,4291700,121.76997920445034,124.4776284928387,130.08251770744656,122.66797549907977,123.51732976675956,126.84207625721474,120.26947631835938,125.914354896579,120.49317356883509,137.46930099487304,132.97547887669313,115.3062466536411,145.0670128631592,139.29117420296075,125.17805667423411,134.5993623618362,122.59152069091797,110.58367901999975,62.579609070108994,1.4571871663186187,-0.39222060596888353,1.8494077722875022,135.2692498333181,1.1251169154716085,1.0281909738065276,1.0376728221488878,1.0131548664405783,1.0201695961948185,1.0641823064138067,1.007481733814826,1.0137097537693407,1.120255108764364,1.0029483845491927,1.006160111354129,1.1706485743758819,1.000305095651736,1.000540441260126,1.0783287170929763,0.9996892563955917,1.0795841279185272,0.9885896536187604,1.012476173772629,1.1157328813242064
2020-05-28,136.2639563736778,137.3631583874795,131.43112140077784,134.04739379882812,3481800,122.7914319719587,125.75359720030396,132.36010125252477,123.24538861788236,124.29733450987575,128.78559347062094,120.5733381652832,126.23329759862798,121.90052133521334,137.20553848266601,132.9967049147552,115.93696697867443,145.00600563049318,139.23899728351665,125.21807137867563,135.08965820205256,122.70369873046874,110.31773925888493,61.31878396441677,2.0730096333178096,0.1008254418884551,1.9721841914293545,134.39713989412866,1.1194212144816669,1.0175087597105128,1.0127477429401799,1.010250586574588,1.0153223383813512,1.0408570569611695,1.0063149417542387,1.0116798962521663,1.0996457794484094,1.0025330130334302,1.005469957988728,1.156209251389895,1.0001596237008612,1.000319662291496,1.070511566924326,0.999625411159446,1.085804226288325,0.9961998901442843,1.018396221257762,0.8955108717458063
2020-05-29,132.3758729313297,136.1730879647351,131.11316101095272,132.4939727783203,4135000,123.43654523577008,126.65231394403948,133.43082849823455,123.72732984102689,124.9044929001309,130.11091679438053,121.06598495483398,126.47881427234141,123.03110548699865,136.93835006713869,132.9867498229446,116.4591860700229,144.9226230621338,139.17188261182318,125.21276588764906,135.8471729697863,122.93028411865234,110.01339526751838,59.18679806155158,2.4079479561590915,0.5622499447425824,1.8456980114165091,133.64312448784392,1.0731525277179703,1.0080895015611009,0.9929787161598369,1.0071466483961014,1.0102909284186505,1.018315572917727,1.0048847257477345,1.0092746457472181,1.0769144295165392,1.0019449438332355,1.0045043363213437,1.1376858902195681,0.9999251478311663,0.9999576299892806,1.0581506752850147,0.9995179894066831,1.0845292169819192,1.0013717686451777,1.0195807293173262,1.0684257579750813
2020-06-01,132.16694445873037,134.25631381340636,131.6400555529865,132.7937469482422,2071100,124.27247783115932,127.47117167793317,134.23303588711292,124.16357333843524,125.48888208887989,131.28348889865487,121.57635070800781,126.7264586910042,124.11432254474943,136.67326263427734,132.9829279838416,116.98486297806093,144.85823356628418,139.10841857536963,125.21780066944882,136.9957970062718,123.38152313232422,109.76724925837662,59.47958680460762,2.6668366277104525,0.9831672813361565,1.683669346374296,132.94818468319642,1.096647036004375,1.0060121592431617,0.9892776846671252,1.0064653989208243,1.0090120962419118,1.011503792763713,1.0046786882935927,1.0088044161959127,1.0699308848933482,1.001957991305402,1.00451382948634,1.1351361498209047,0.9999712615045627,1.000040209812187,1.0605021509584922,0.9995439880867993,1.0815273623132027,1.0058765390796944,1.0221764110162086,0.5465105233159528
2020-06-02,134.25634520423188,135.11026832487187,133.0390570312502,134.76507568359375,3625800,125.68013817923409,128.44369221202126,135.41605506656862,124.64650198129507,126.17600754034018,132.66637909075504,122.24265197753907,127.04169857306654,125.34157525830815,136.4265431213379,133.01821803730203,117.61100375491779,144.8079401397705,139.0652012331629,125.28236685608567,138.48711390256614,124.02375869750976,109.56040349245337,61.43868012769182,2.99653532501992,1.3858408900729091,1.610694434947011,134.07466267806103,1.1712812134056014,1.0088131745783548,0.9951927459217826,1.0076293370594038,1.0105336185357452,1.0158193553424943,1.005475588275411,1.0098880829254515,1.0751825593851467,1.0024875616766897,1.0053523230349406,1.1458543110848902,1.0002653728113486,1.0005156310547834,1.0756906902820653,0.9996893261914029,1.0803762022896124,1.0110356965838927,1.0281201867440395,0.9630739318214416
