Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,STOCHk_14_3_3,STOCHd_14_3_3,RSI_14,CMO_14,CCI_14_0.015,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,EMA_10,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,ADX_14,DMP_14,DMN_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,FWMA_10,WILLR_14,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,OBV,AD
2012-05-18 00:00:00-04:00,41.88998143371914,44.82875621210435,37.8553941346659,38.08451843261719,573576400,0.0,0.0,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,,,,32.97404479980469,573576400.0,-535884311.5892683
2012-05-21 00:00:00-04:00,36.39098776806456,36.520494130991075,32.874422022338905,33.9005012512207,168192700,0.0,0.0,,,,,,,,,,,,,,681.25,0.04,0,,,,,,,,,,,,,,,32.10734939575195,405383700.0,-609411283.2236575
2012-05-22 00:00:00-04:00,32.48590629776065,33.46217654323963,30.82226125083241,30.88203239440918,101786600,0.0,0.0,,,,,,,,,,,,,,655.3149768808936,0.06,0,,,,,,,,,,,,,,,31.24066162109375,303597100.0,-706588719.058209
2012-05-23 00:00:00-04:00,31.250625471259355,32.3763245344162,31.240663297237916,31.87822723388672,73600000,0.0,0.0,,,,,,,,,,,,,,617.84541394309,0.06,0,,,,,,,,,,,,,,,30.981651306152344,377197100.0,-697550157.1329235
2012-05-24 00:00:00-04:00,32.824610917132816,33.083619825959126,31.64910105362295,32.90430450439453,50237200,0.0,0.0,,,,,,,,,,,,,,582.6240247815546,0.06,0,,,,28.548953815447735,33.529916763305664,38.5108797111636,29.71055957591268,0.43719966746789596,,,,,,,30.652908325195312,427434300.0,-659872290.403738
2012-05-25 00:00:00-04:00,32.774804757125736,32.82461372845286,30.99161546227607,31.788570404052734,37149800,0.0,0.0,,,,,,,,,,,,,,549.5159189697113,0.06,0,,,,30.197548280403804,32.27072715759277,34.34390603478174,12.848665399231217,0.3837155927920229,,,,,,,31.08127212524414,390284500.0,-664717949.9772799
2012-05-29 00:00:00-04:00,31.360206429136458,31.569408289034936,28.540975708285007,28.730253219604492,78063400,0.0,0.0,,,,,,,,,,,,,,518.3942995065786,0.08,0,,,,28.42170508409968,31.23667755126953,34.05165001843938,18.023507542052556,0.05480482297843266,,,,,,,31.350244522094727,312221100.0,-733023400.4881229
2012-05-30 00:00:00-04:00,28.590784984781482,29.43754885115636,27.75398139205,28.082725524902344,57267900,0.0,0.0,,,,,,,,,,,,,,479.2060336027151,0.1,0,,,,26.865306880927925,30.676816177368163,34.4883254738084,24.84944509497163,0.15970296138480206,,,,,,,31.6092529296875,254953200.0,-767926308.7867891
2012-05-31 00:00:00-04:00,28.441354549690523,29.557093317320266,26.72790055306702,29.48736000061035,111639200,0.0,0.0,,,,,,,,,,,,,,434.06082838164855,0.12000000000000001,0,,,,26.512162334417877,30.19864273071289,33.8851231270079,24.414874729093405,0.4035282093433359,,,,,35.778328382585684,,32.047576904296875,366592400.0,-661790425.3435144
2012-06-01 00:00:00-04:00,28.78006313333455,29.03907397307108,27.285771142609548,27.61451530456543,41855500,0.0,0.0,,,,,,,,,,,,31.335300827026366,,385.18087704221875,0.12000000000000001,0,,,,26.208326508064083,29.14068489074707,32.07304327343006,20.12552823433528,0.23977096469612652,28.900789941107476,,,,31.62419734202905,,31.350244522094727,324736900.0,-687950118.5134733
